direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 3:42:58 PM, 32.51
right, 1-3, t, 8/12/2016 3:43:30 PM, 25.93
right, 2-1, t, 8/12/2016 3:43:56 PM, 44.84
down, 2-3, b, 8/12/2016 3:44:41 PM, 28.10
down, 3-4, b, 8/12/2016 3:45:09 PM, 17.90
down, 3-3, v, 8/12/2016 3:45:27 PM, 15.21
left, 3-1, p, 8/12/2016 3:45:42 PM, 19.58
right, 4-4, p, 8/12/2016 3:46:02 PM, 21.16
right, 5-1, p, 8/12/2016 3:46:23 PM, 13.45
up, 6-3, p, 8/12/2016 3:46:36 PM, 5.62
right, 7-2, p, 8/12/2016 3:46:42 PM, 15.98
up, 8-3, p, 8/12/2016 3:46:58 PM, 11.04
