direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 11:10:43 AM, 12.29
up, 1-2, v, 8/12/2016 11:10:55 AM, 15.40
up, 1-3, t, 8/12/2016 11:11:10 AM, 34.34
down, 1-4, p, 8/12/2016 11:11:45 AM, 5.42
left, 2-3, b, 8/12/2016 11:11:50 AM, 23.72
up, 2-4, v, 8/12/2016 11:12:14 AM, 7.16
right, 3-4, b, 8/12/2016 11:12:21 AM, 27.64
down, 3-3, v, 8/12/2016 11:12:49 AM, 11.07
up, 4-1, v, 8/12/2016 11:13:00 AM, 12.17
left, 4-4, p, 8/12/2016 11:13:12 AM, 11.45
left, 5-2, v, 8/12/2016 11:13:23 AM, 6.31
up, 5-3, b, 8/12/2016 11:13:30 AM, 22.18
right, 5-4, t, 8/12/2016 11:13:52 AM, 20.81
left, 6-4, b, 8/12/2016 11:14:13 AM, 16.13
down, 6-3, p, 8/12/2016 11:14:29 AM, 6.55
right, 7-2, p, 8/12/2016 11:14:35 AM, 17.00
left, 7-4, t, 8/12/2016 11:14:52 AM, 35.01
left, 8-1, t, 8/12/2016 11:15:27 AM, 34.87
