direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 10:29:33 PM, 19.91
right, 1-3, t, 8/13/2016 10:29:53 PM, 23.98
left, 1-2, v, 8/13/2016 10:30:17 PM, 12.31
right, 1-4, p, 8/13/2016 10:30:29 PM, 5.25
down, 2-1, t, 8/13/2016 10:30:34 PM, 14.22
right, 2-4, v, 8/13/2016 10:30:48 PM, 4.89
right, 2-3, b, 8/13/2016 10:30:53 PM, 12.26
right, 3-2, t, 8/13/2016 10:31:06 PM, 20.52
down, 3-4, b, 8/13/2016 10:31:26 PM, 11.13
up, 4-3, t, 8/13/2016 10:31:37 PM, 14.35
down, 5-4, t, 8/13/2016 10:31:52 PM, 26.52
left, 5-3, b, 8/13/2016 10:32:18 PM, 7.39
left, 5-2, v, 8/13/2016 10:32:26 PM, 3.80
left, 6-2, t, 8/13/2016 10:32:29 PM, 9.65
right, 6-4, b, 8/13/2016 10:32:39 PM, 20.49
right, 7-4, t, 8/13/2016 10:32:59 PM, 10.82
up, 7-1, b, 8/13/2016 10:33:10 PM, 15.94
down, 7-2, p, 8/13/2016 10:33:26 PM, 15.65
up, 8-3, p, 8/13/2016 10:33:42 PM, 3.05
right, 8-1, t, 8/13/2016 10:33:45 PM, 24.88
right, 8-2, b, 8/13/2016 10:34:10 PM, 14.31
right, 8-4, v, 8/13/2016 10:34:24 PM, 5.04
