direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 2:30:13 PM, 14.85
down, 2-3, b, 8/10/2016 2:30:27 PM, 9.92
up, 2-4, v, 8/10/2016 2:30:37 PM, 11.16
right, 3-4, b, 8/10/2016 2:30:48 PM, 12.67
up, 3-2, t, 8/10/2016 2:31:01 PM, 17.26
down, 4-2, b, 8/10/2016 2:31:18 PM, 11.09
up, 4-4, p, 8/10/2016 2:31:29 PM, 9.24
right, 5-1, p, 8/10/2016 2:31:39 PM, 9.48
up, 6-3, p, 8/10/2016 2:31:48 PM, 5.87
down, 6-1, v, 8/10/2016 2:31:54 PM, 11.37
right, 6-4, b, 8/10/2016 2:32:05 PM, 8.06
right, 6-2, t, 8/10/2016 2:32:13 PM, 8.27
up, 7-3, v, 8/10/2016 2:32:22 PM, 22.87
right, 7-2, p, 8/10/2016 2:32:45 PM, 9.56
right, 7-1, b, 8/10/2016 2:32:54 PM, 7.59
down, 8-3, p, 8/10/2016 2:33:02 PM, 5.73
left, 8-4, v, 8/10/2016 2:33:07 PM, 6.92
