direction, next, type, time, seconds spent
start, 1-1, b, 8/11/2016 11:59:07 AM, 15.91
up, 1-2, v, 8/11/2016 11:59:22 AM, 23.58
right, 1-4, p, 8/11/2016 11:59:46 AM, 12.90
up, 2-2, p, 8/11/2016 11:59:59 AM, 6.22
left, 3-1, p, 8/11/2016 12:00:05 PM, 5.18
right, 4-4, p, 8/11/2016 12:00:10 PM, 2.61
right, 5-1, p, 8/11/2016 12:00:13 PM, 6.91
up, 6-3, p, 8/11/2016 12:00:20 PM, 4.39
right, 7-2, p, 8/11/2016 12:00:24 PM, 6.49
down, 7-3, v, 8/11/2016 12:00:31 PM, 26.58
left, 7-1, b, 8/11/2016 12:00:57 PM, 13.03
down, 8-3, p, 8/11/2016 12:01:10 PM, 3.95
