direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 4:50:18 PM, 16.65
down, 2-3, b, 8/13/2016 4:50:35 PM, 17.04
down, 3-4, b, 8/13/2016 4:50:52 PM, 6.47
left, 4-2, b, 8/13/2016 4:50:59 PM, 7.38
up, 4-4, p, 8/13/2016 4:51:06 PM, 7.07
right, 5-1, p, 8/13/2016 4:51:13 PM, 14.83
up, 6-3, p, 8/13/2016 4:51:28 PM, 14.75
down, 6-1, v, 8/13/2016 4:51:43 PM, 7.33
up, 7-2, p, 8/13/2016 4:51:50 PM, 16.35
right, 7-1, b, 8/13/2016 4:52:06 PM, 16.74
right, 7-3, v, 8/13/2016 4:52:23 PM, 6.34
down, 7-4, t, 8/13/2016 4:52:29 PM, 34.84
right, 8-4, v, 8/13/2016 4:53:04 PM, 9.32
