direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 3:20:00 PM, 16.44
up, 1-2, v, 8/12/2016 3:20:16 PM, 4.67
up, 1-3, t, 8/12/2016 3:20:21 PM, 7.22
down, 1-4, p, 8/12/2016 3:20:28 PM, 6.09
up, 2-2, p, 8/12/2016 3:20:34 PM, 6.14
up, 2-1, t, 8/12/2016 3:20:41 PM, 13.86
up, 3-1, p, 8/12/2016 3:20:54 PM, 6.91
up, 3-4, b, 8/12/2016 3:21:01 PM, 6.21
down, 3-3, v, 8/12/2016 3:21:08 PM, 6.45
up, 4-1, v, 8/12/2016 3:21:14 PM, 5.25
left, 4-4, p, 8/12/2016 3:21:19 PM, 4.69
right, 5-1, p, 8/12/2016 3:21:24 PM, 7.93
left, 5-2, v, 8/12/2016 3:21:32 PM, 6.18
up, 5-3, b, 8/12/2016 3:21:38 PM, 4.82
up, 6-3, p, 8/12/2016 3:21:43 PM, 4.01
down, 6-1, v, 8/12/2016 3:21:47 PM, 4.69
right, 6-4, b, 8/12/2016 3:21:52 PM, 5.05
left, 7-3, v, 8/12/2016 3:21:57 PM, 4.43
right, 7-2, p, 8/12/2016 3:22:01 PM, 6.53
down, 8-4, v, 8/12/2016 3:22:08 PM, 4.44
right, 8-3, p, 8/12/2016 3:22:12 PM, 3.74
up, 8-2, b, 8/12/2016 3:22:16 PM, 5.21
