direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 10:09:07 PM, 6.27
left, 1-4, p, 8/15/2016 10:09:13 PM, 3.93
down, 1-3, t, 8/15/2016 10:09:17 PM, 6.66
left, 1-2, v, 8/15/2016 10:09:23 PM, 6.99
right, 2-2, p, 8/15/2016 10:09:30 PM, 2.18
down, 2-4, v, 8/15/2016 10:09:33 PM, 7.47
left, 2-1, t, 8/15/2016 10:09:40 PM, 11.61
down, 2-3, b, 8/15/2016 10:09:52 PM, 7.71
right, 3-2, t, 8/15/2016 10:09:59 PM, 3.60
down, 3-4, b, 8/15/2016 10:10:03 PM, 4.83
down, 3-3, v, 8/15/2016 10:10:08 PM, 6.17
left, 3-1, p, 8/15/2016 10:10:14 PM, 2.72
left, 4-1, v, 8/15/2016 10:10:17 PM, 7.06
down, 4-2, b, 8/15/2016 10:10:24 PM, 6.45
left, 4-3, t, 8/15/2016 10:10:30 PM, 7.13
left, 4-4, p, 8/15/2016 10:10:37 PM, 6.82
left, 5-2, v, 8/15/2016 10:10:44 PM, 2.36
left, 5-4, t, 8/15/2016 10:10:47 PM, 1.75
left, 5-3, b, 8/15/2016 10:10:48 PM, 6.56
up, 5-1, p, 8/15/2016 10:10:55 PM, 4.25
right, 6-2, t, 8/15/2016 10:10:59 PM, 1.12
left, 6-3, p, 8/15/2016 10:11:00 PM, 1.11
right, 7-2, p, 8/15/2016 10:11:01 PM, 1.24
left, 7-4, t, 8/15/2016 10:11:03 PM, 1.23
up, 7-1, b, 8/15/2016 10:11:04 PM, 6.05
right, 7-3, v, 8/15/2016 10:11:10 PM, 6.87
up, 8-4, v, 8/15/2016 10:11:17 PM, 1.65
left, 8-2, b, 8/15/2016 10:11:18 PM, 6.36
down, 8-1, t, 8/15/2016 10:11:25 PM, 1.67
down, 8-3, p, 8/15/2016 10:11:26 PM, 7.45
left, 9-4, v, 8/15/2016 10:11:34 PM, 14.41
