direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 7:36:57 PM, 14.87
left, 1-4, p, 8/13/2016 7:37:12 PM, 7.43
up, 2-2, p, 8/13/2016 7:37:20 PM, 8.65
right, 2-3, b, 8/13/2016 7:37:28 PM, 18.46
left, 3-1, p, 8/13/2016 7:37:47 PM, 14.71
left, 3-3, v, 8/13/2016 7:38:02 PM, 10.31
down, 3-2, t, 8/13/2016 7:38:12 PM, 9.20
up, 4-3, t, 8/13/2016 7:38:21 PM, 5.08
left, 4-4, p, 8/13/2016 7:38:26 PM, 9.65
right, 5-1, p, 8/13/2016 7:38:36 PM, 8.05
up, 6-3, p, 8/13/2016 7:38:44 PM, 8.47
right, 7-2, p, 8/13/2016 7:38:52 PM, 8.61
up, 8-3, p, 8/13/2016 7:39:01 PM, 13.24
