direction, next, type, time, seconds spent
start, 1-1, b, 8/14/2016 11:12:54 AM, 17.32
up, 1-2, v, 8/14/2016 11:13:12 AM, 38.51
right, 1-4, p, 8/14/2016 11:13:50 AM, 11.05
down, 1-3, t, 8/14/2016 11:14:01 AM, 16.97
right, 2-1, t, 8/14/2016 11:14:18 AM, 22.55
up, 2-2, p, 8/14/2016 11:14:41 AM, 12.12
left, 3-1, p, 8/14/2016 11:14:53 AM, 26.36
down, 3-2, t, 8/14/2016 11:15:19 AM, 22.45
left, 4-4, p, 8/14/2016 11:15:42 AM, 10.61
left, 4-1, v, 8/14/2016 11:15:52 AM, 20.49
down, 4-2, b, 8/14/2016 11:16:13 AM, 33.49
down, 5-2, v, 8/14/2016 11:16:46 AM, 32.23
right, 5-1, p, 8/14/2016 11:17:19 AM, 21.89
left, 6-1, v, 8/14/2016 11:17:40 AM, 15.07
up, 6-3, p, 8/14/2016 11:17:55 AM, 8.13
left, 6-4, b, 8/14/2016 11:18:04 AM, 7.28
up, 7-1, b, 8/14/2016 11:18:11 AM, 17.26
down, 7-2, p, 8/14/2016 11:18:28 AM, 6.76
up, 8-3, p, 8/14/2016 11:18:35 AM, 3.82
