direction, next, type, time, seconds spent
start, 1-1, b, 8/9/2016 8:23:48 PM, 10.81
left, 1-4, p, 8/9/2016 8:24:59 PM, 10.2
up, 2-2, p, 8/9/2016 8:25:09 PM, 16.03
down, 2-4, v, 8/9/2016 8:25:25 PM, 10.52
down, 3-1, p, 8/9/2016 8:25:36 PM, 24.38
left, 3-3, v, 8/9/2016 8:26:00 PM, 18.71
left, 4-4, p, 8/9/2016 8:26:19 PM, 10.04
left, 4-1, v, 8/9/2016 8:26:29 PM, 10.06
down, 4-2, b, 8/9/2016 8:26:39 PM, 21.14
up, 5-1, p, 8/9/2016 8:27:00 PM, 28.08
left, 5-2, v, 8/9/2016 8:27:28 PM, 7.13
right, 6-3, p, 8/9/2016 8:27:35 PM, 6.01
down, 6-1, v, 8/9/2016 8:27:41 PM, 8.29
up, 7-2, p, 8/9/2016 8:27:50 PM, 24.02
right, 7-1, b, 8/9/2016 8:28:14 PM, 12.78
down, 8-3, p, 8/9/2016 8:28:27 PM, 10.72
left, 8-4, v, 8/9/2016 8:28:37 PM, 6.68
left, 8-2, b, 8/9/2016 8:28:44 PM, 9.76
