direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 12:37:37 PM, 11.83
left, 1-4, p, 8/15/2016 12:37:48 PM, 5.45
down, 1-3, t, 8/15/2016 12:37:54 PM, 20.47
down, 2-2, p, 8/15/2016 12:38:14 PM, 16.12
left, 3-1, p, 8/15/2016 12:38:30 PM, 7.27
right, 4-4, p, 8/15/2016 12:38:38 PM, 6.10
left, 4-1, v, 8/15/2016 12:38:44 PM, 8.29
left, 5-1, p, 8/15/2016 12:38:52 PM, 9.98
left, 5-2, v, 8/15/2016 12:39:02 PM, 11.56
down, 6-1, v, 8/15/2016 12:39:14 PM, 6.97
right, 6-4, b, 8/15/2016 12:39:21 PM, 28.78
down, 6-3, p, 8/15/2016 12:39:49 PM, 4.76
down, 7-3, v, 8/15/2016 12:39:54 PM, 3.68
up, 8-4, v, 8/15/2016 12:39:58 PM, 8.25
left, 8-2, b, 8/15/2016 12:40:06 PM, 11.49
up, 8-3, p, 8/15/2016 12:40:18 PM, 9.38
