direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 1:36:09 PM, 11.47
up, 1-2, v, 8/10/2016 1:36:20 PM, 11.23
right, 1-4, p, 8/10/2016 1:36:32 PM, 13.88
up, 2-2, p, 8/10/2016 1:36:45 PM, 11.28
up, 2-1, t, 8/10/2016 1:36:57 PM, 17.05
up, 3-1, p, 8/10/2016 1:37:14 PM, 11.23
right, 4-4, p, 8/10/2016 1:37:25 PM, 10.78
left, 4-1, v, 8/10/2016 1:37:36 PM, 15.52
up, 5-2, v, 8/10/2016 1:37:51 PM, 19.66
right, 5-1, p, 8/10/2016 1:38:11 PM, 11.38
right, 5-4, t, 8/10/2016 1:38:22 PM, 3.48
down, 6-3, p, 8/10/2016 1:38:26 PM, 9.29
right, 7-2, p, 8/10/2016 1:38:35 PM, 8.98
down, 7-3, v, 8/10/2016 1:38:44 PM, 45.52
down, 7-4, t, 8/10/2016 1:39:30 PM, 12.31
down, 8-3, p, 8/10/2016 1:39:42 PM, 5.44
