direction, next, type, time, seconds spent
start, 1-1, b, 8/11/2016 11:35:46 AM, 32.17
left, 1-4, p, 8/11/2016 11:36:18 AM, 8.34
right, 1-2, v, 8/11/2016 11:36:27 AM, 22.09
up, 1-3, t, 8/11/2016 11:36:49 AM, 29.57
up, 2-3, b, 8/11/2016 11:37:18 AM, 25.69
up, 2-4, v, 8/11/2016 11:37:44 AM, 23.27
left, 2-1, t, 8/11/2016 11:38:07 AM, 42.36
up, 2-2, p, 8/11/2016 11:38:50 AM, 9.55
right, 3-4, b, 8/11/2016 11:38:59 AM, 26.96
down, 3-3, v, 8/11/2016 11:39:26 AM, 24.06
left, 3-1, p, 8/11/2016 11:39:50 AM, 12.07
down, 3-2, t, 8/11/2016 11:40:02 AM, 20.81
down, 4-2, b, 8/11/2016 11:40:23 AM, 29.44
down, 4-1, v, 8/11/2016 11:40:53 AM, 12.82
left, 4-4, p, 8/11/2016 11:41:06 AM, 9.03
up, 4-3, t, 8/11/2016 11:41:15 AM, 6.53
up, 5-3, b, 8/11/2016 11:41:21 AM, 17.87
left, 5-2, v, 8/11/2016 11:41:39 AM, 5.56
right, 5-1, p, 8/11/2016 11:41:44 AM, 29.52
down, 6-4, b, 8/11/2016 11:42:14 AM, 16.31
left, 6-1, v, 8/11/2016 11:42:30 AM, 14.51
up, 6-3, p, 8/11/2016 11:42:45 AM, 7.10
up, 6-2, t, 8/11/2016 11:42:52 AM, 24.16
right, 7-1, b, 8/11/2016 11:43:16 AM, 27.60
right, 7-3, v, 8/11/2016 11:43:44 AM, 27.42
right, 7-2, p, 8/11/2016 11:44:11 AM, 13.25
left, 7-4, t, 8/11/2016 11:44:24 AM, 5.69
up, 8-2, b, 8/11/2016 11:44:30 AM, 17.29
right, 8-4, v, 8/11/2016 11:44:47 AM, 6.53
right, 8-3, p, 8/11/2016 11:44:54 AM, 5.97
right, 8-1, t, 8/11/2016 11:45:00 AM, 5.33
