direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 2:15:31 PM, 15.07
left, 1-4, p, 8/12/2016 2:15:46 PM, 11.02
right, 1-2, v, 8/12/2016 2:15:57 PM, 9.34
down, 2-4, v, 8/12/2016 2:16:07 PM, 18.07
up, 3-3, v, 8/12/2016 2:16:25 PM, 11.29
left, 3-1, p, 8/12/2016 2:16:36 PM, 8.71
right, 4-4, p, 8/12/2016 2:16:45 PM, 15.53
left, 4-1, v, 8/12/2016 2:17:00 PM, 6.90
up, 5-2, v, 8/12/2016 2:17:07 PM, 14.35
down, 6-1, v, 8/12/2016 2:17:21 PM, 8.49
down, 7-3, v, 8/12/2016 2:17:30 PM, 18.19
left, 7-1, b, 8/12/2016 2:17:48 PM, 9.20
down, 7-2, p, 8/12/2016 2:17:57 PM, 13.48
down, 8-4, v, 8/12/2016 2:18:11 PM, 5.56
right, 8-3, p, 8/12/2016 2:18:16 PM, 8.45
