direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 12:00:07 PM, 23.17
up, 1-2, v, 8/12/2016 12:00:31 PM, 37.43
right, 1-4, p, 8/12/2016 12:01:08 PM, 17.05
down, 1-3, t, 8/12/2016 12:01:25 PM, 24.65
right, 2-1, t, 8/12/2016 12:01:50 PM, 38.47
up, 2-2, p, 8/12/2016 12:02:28 PM, 18.28
right, 2-3, b, 8/12/2016 12:02:46 PM, 9.31
up, 2-4, v, 8/12/2016 12:02:56 PM, 11.99
right, 3-4, b, 8/12/2016 12:03:08 PM, 13.62
down, 3-3, v, 8/12/2016 12:03:21 PM, 8.88
up, 4-1, v, 8/12/2016 12:03:30 PM, 9.72
up, 5-2, v, 8/12/2016 12:03:40 PM, 4.04
right, 5-1, p, 8/12/2016 12:03:44 PM, 9.70
right, 5-4, t, 8/12/2016 12:03:54 PM, 7.80
down, 6-3, p, 8/12/2016 12:04:01 PM, 5.83
down, 6-1, v, 8/12/2016 12:04:07 PM, 8.28
right, 6-4, b, 8/12/2016 12:04:16 PM, 8.64
right, 6-2, t, 8/12/2016 12:04:24 PM, 15.72
down, 7-4, t, 8/12/2016 12:04:40 PM, 7.86
left, 8-1, t, 8/12/2016 12:04:48 PM, 8.45
right, 8-2, b, 8/12/2016 12:04:56 PM, 4.66
up, 8-3, p, 8/12/2016 12:05:01 PM, 2.81
left, 8-4, v, 8/12/2016 12:05:04 PM, 5.01
