direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 8:18:20 PM, 26.33
up, 1-2, v, 8/13/2016 8:18:46 PM, 10.03
down, 2-4, v, 8/13/2016 8:18:56 PM, 16.78
up, 3-3, v, 8/13/2016 8:19:13 PM, 16.62
up, 4-1, v, 8/13/2016 8:19:29 PM, 17.17
down, 4-2, b, 8/13/2016 8:19:46 PM, 2.17
left, 4-3, t, 8/13/2016 8:19:49 PM, 1.63
right, 5-2, v, 8/13/2016 8:19:50 PM, 6.91
down, 6-1, v, 8/13/2016 8:19:57 PM, 4.98
down, 7-3, v, 8/13/2016 8:20:02 PM, 19.48
right, 7-2, p, 8/13/2016 8:20:22 PM, 6.42
left, 7-4, t, 8/13/2016 8:20:28 PM, 5.94
up, 7-1, b, 8/13/2016 8:20:34 PM, 6.82
down, 8-3, p, 8/13/2016 8:20:41 PM, 7.82
right, 8-1, t, 8/13/2016 8:20:49 PM, 5.00
right, 8-2, b, 8/13/2016 8:20:54 PM, 5.30
right, 8-4, v, 8/13/2016 8:20:59 PM, 3.40
