direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 3:36:31 PM, 17.32
left, 1-4, p, 8/13/2016 3:36:49 PM, 13.83
up, 2-2, p, 8/13/2016 3:37:02 PM, 11.83
left, 3-1, p, 8/13/2016 3:37:14 PM, 20.24
right, 4-4, p, 8/13/2016 3:37:35 PM, 31.77
right, 5-1, p, 8/13/2016 3:38:06 PM, 13.16
down, 5-3, b, 8/13/2016 3:38:19 PM, 19.16
down, 6-4, b, 8/13/2016 3:38:39 PM, 9.46
left, 6-1, v, 8/13/2016 3:38:48 PM, 7.79
down, 7-3, v, 8/13/2016 3:38:56 PM, 43.60
right, 7-2, p, 8/13/2016 3:39:39 PM, 11.33
right, 7-1, b, 8/13/2016 3:39:51 PM, 23.66
right, 8-4, v, 8/13/2016 3:40:14 PM, 14.91
right, 8-3, p, 8/13/2016 3:40:29 PM, 13.47
right, 8-1, t, 8/13/2016 3:40:43 PM, 21.18
