direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 6:59:38 PM, 21.28
up, 1-2, v, 8/13/2016 6:59:59 PM, 21.33
up, 1-3, t, 8/13/2016 7:00:20 PM, 38.15
down, 1-4, p, 8/13/2016 7:00:58 PM, 5.42
right, 2-4, v, 8/13/2016 7:01:04 PM, 20.01
down, 2-2, p, 8/13/2016 7:01:24 PM, 9.87
right, 2-3, b, 8/13/2016 7:01:34 PM, 10.23
right, 2-1, t, 8/13/2016 7:01:44 PM, 37.67
right, 3-3, v, 8/13/2016 7:02:22 PM, 26.04
down, 3-2, t, 8/13/2016 7:02:48 PM, 46.94
down, 3-4, b, 8/13/2016 7:03:35 PM, 16.30
right, 3-1, p, 8/13/2016 7:03:51 PM, 13.09
right, 4-4, p, 8/13/2016 7:04:04 PM, 23.55
down, 4-2, b, 8/13/2016 7:04:27 PM, 15.01
down, 4-1, v, 8/13/2016 7:04:42 PM, 19.35
right, 4-3, t, 8/13/2016 7:05:02 PM, 46.65
left, 5-1, p, 8/13/2016 7:05:48 PM, 17.60
up, 6-3, p, 8/13/2016 7:06:06 PM, 7.79
up, 6-2, t, 8/13/2016 7:06:14 PM, 42.17
up, 6-1, v, 8/13/2016 7:06:56 PM, 12.06
right, 6-4, b, 8/13/2016 7:07:08 PM, 9.42
down, 7-2, p, 8/13/2016 7:07:18 PM, 12.79
down, 7-3, v, 8/13/2016 7:07:30 PM, 51.35
left, 7-1, b, 8/13/2016 7:08:22 PM, 17.16
left, 7-4, t, 8/13/2016 7:08:39 PM, 32.89
up, 8-2, b, 8/13/2016 7:09:12 PM, 17.34
up, 8-3, p, 8/13/2016 7:09:29 PM, 6.28
left, 8-4, v, 8/13/2016 7:09:35 PM, 8.57
down, 8-1, t, 8/13/2016 7:09:44 PM, 38.51
