direction, next, type, time, seconds spent
start, 1-1, b, 8/11/2016 2:15:11 PM, 16.08
up, 1-2, v, 8/11/2016 2:15:27 PM, 15.87
right, 1-4, p, 8/11/2016 2:15:43 PM, 7.02
up, 2-2, p, 8/11/2016 2:15:50 PM, 11.90
right, 2-3, b, 8/11/2016 2:16:02 PM, 15.78
up, 2-4, v, 8/11/2016 2:16:18 PM, 17.70
down, 3-1, p, 8/11/2016 2:16:36 PM, 27.54
right, 4-4, p, 8/11/2016 2:17:03 PM, 22.44
down, 4-2, b, 8/11/2016 2:17:26 PM, 23.04
down, 4-1, v, 8/11/2016 2:17:49 PM, 32.02
left, 5-1, p, 8/11/2016 2:18:21 PM, 14.45
left, 5-2, v, 8/11/2016 2:18:35 PM, 32.85
up, 5-3, b, 8/11/2016 2:19:08 PM, 20.38
right, 5-4, t, 8/11/2016 2:19:28 PM, 39.60
down, 6-3, p, 8/11/2016 2:20:08 PM, 7.56
left, 6-4, b, 8/11/2016 2:20:16 PM, 9.53
left, 6-1, v, 8/11/2016 2:20:25 PM, 13.27
right, 7-1, b, 8/11/2016 2:20:38 PM, 31.91
down, 7-2, p, 8/11/2016 2:21:10 PM, 11.48
down, 7-3, v, 8/11/2016 2:21:22 PM, 30.56
down, 7-4, t, 8/11/2016 2:21:52 PM, 18.46
down, 8-3, p, 8/11/2016 2:22:11 PM, 6.36
left, 8-4, v, 8/11/2016 2:22:17 PM, 4.04
