direction, next, type, time, seconds spent
start, 1-1, b, 8/11/2016 9:52:58 AM, 6.71
right, 1-3, t, 8/11/2016 9:53:05 AM, 7.52
up, 2-3, b, 8/11/2016 9:53:13 AM, 5.86
left, 2-2, p, 8/11/2016 9:53:18 AM, 9.22
down, 2-4, v, 8/11/2016 9:53:28 AM, 6.29
right, 3-4, b, 8/11/2016 9:53:34 AM, 12.34
up, 3-2, t, 8/11/2016 9:53:46 AM, 17.96
left, 3-1, p, 8/11/2016 9:54:04 AM, 22.84
down, 4-3, t, 8/11/2016 9:54:27 AM, 27.34
right, 4-1, v, 8/11/2016 9:54:54 AM, 5.62
up, 5-2, v, 8/11/2016 9:55:00 AM, 12.75
left, 5-4, t, 8/11/2016 9:55:13 AM, 25.31
down, 5-1, p, 8/11/2016 9:55:38 AM, 11.26
right, 6-2, t, 8/11/2016 9:55:49 AM, 22.98
up, 6-1, v, 8/11/2016 9:56:12 AM, 17.86
left, 7-4, t, 8/11/2016 9:56:30 AM, 15.97
down, 7-2, p, 8/11/2016 9:56:46 AM, 6.32
right, 7-1, b, 8/11/2016 9:56:53 AM, 13.37
up, 8-2, b, 8/11/2016 9:57:06 AM, 16.41
