direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 1:51:19 PM, 12.69
down, 2-3, b, 8/10/2016 1:51:32 PM, 15.27
right, 2-1, t, 8/10/2016 1:51:47 PM, 5.77
up, 2-2, p, 8/10/2016 1:51:53 PM, 10.27
left, 3-1, p, 8/10/2016 1:52:03 PM, 10.91
right, 4-4, p, 8/10/2016 1:52:14 PM, 8.29
left, 4-1, v, 8/10/2016 1:52:22 PM, 4.51
up, 5-2, v, 8/10/2016 1:52:27 PM, 6.12
down, 6-1, v, 8/10/2016 1:52:33 PM, 6.68
up, 6-3, p, 8/10/2016 1:52:40 PM, 5.88
right, 7-2, p, 8/10/2016 1:52:45 PM, 11.61
down, 7-3, v, 8/10/2016 1:52:57 PM, 4.11
up, 8-4, v, 8/10/2016 1:53:01 PM, 6.80
right, 8-3, p, 8/10/2016 1:53:08 PM, 7.44
