direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 2:07:23 PM, 19.59
up, 1-2, v, 8/12/2016 2:07:42 PM, 25.00
up, 1-3, t, 8/12/2016 2:08:07 PM, 24.80
down, 1-4, p, 8/12/2016 2:08:32 PM, 6.28
up, 2-2, p, 8/12/2016 2:08:38 PM, 15.57
right, 2-3, b, 8/12/2016 2:08:54 PM, 17.24
right, 2-1, t, 8/12/2016 2:09:11 PM, 48.12
up, 3-1, p, 8/12/2016 2:09:59 PM, 28.27
right, 4-4, p, 8/12/2016 2:10:27 PM, 19.11
right, 5-1, p, 8/12/2016 2:10:47 PM, 12.14
right, 5-4, t, 8/12/2016 2:10:59 PM, 31.01
right, 5-2, v, 8/12/2016 2:11:30 PM, 10.54
right, 6-3, p, 8/12/2016 2:11:40 PM, 8.48
right, 7-2, p, 8/12/2016 2:11:49 PM, 18.52
up, 8-3, p, 8/12/2016 2:12:07 PM, 8.39
right, 8-1, t, 8/12/2016 2:12:16 PM, 14.65
