direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 3:12:26 PM, 17.61
down, 2-3, b, 8/10/2016 3:12:44 PM, 32.64
up, 2-4, v, 8/10/2016 3:13:16 PM, 15.41
down, 2-2, p, 8/10/2016 3:13:32 PM, 43.53
down, 3-3, v, 8/10/2016 3:14:15 PM, 23.99
left, 3-1, p, 8/10/2016 3:14:39 PM, 17.27
right, 4-4, p, 8/10/2016 3:14:57 PM, 7.90
right, 5-1, p, 8/10/2016 3:15:04 PM, 20.56
up, 6-3, p, 8/10/2016 3:15:25 PM, 9.08
right, 7-2, p, 8/10/2016 3:15:34 PM, 17.35
right, 7-1, b, 8/10/2016 3:15:51 PM, 16.21
right, 7-3, v, 8/10/2016 3:16:08 PM, 23.83
down, 7-4, t, 8/10/2016 3:16:32 PM, 1.46
down, 8-3, p, 8/10/2016 3:16:33 PM, 11.39
left, 8-4, v, 8/10/2016 3:16:44 PM, 7.58
down, 8-1, t, 8/10/2016 3:16:52 PM, 8.30
right, 8-2, b, 8/10/2016 3:17:00 PM, 14.69
