direction, next, type, time, seconds spent
start, 1-1, b, 8/14/2016 5:26:19 PM, 27.32
right, 1-3, t, 8/14/2016 5:26:47 PM, 43.89
left, 1-2, v, 8/14/2016 5:27:31 PM, 19.45
right, 1-4, p, 8/14/2016 5:27:50 PM, 9.29
right, 2-4, v, 8/14/2016 5:27:59 PM, 32.73
right, 2-3, b, 8/14/2016 5:28:32 PM, 30.78
left, 2-2, p, 8/14/2016 5:29:03 PM, 15.04
left, 3-1, p, 8/14/2016 5:29:18 PM, 30.19
up, 3-4, b, 8/14/2016 5:29:48 PM, 28.28
down, 3-3, v, 8/14/2016 5:30:16 PM, 31.79
down, 3-2, t, 8/14/2016 5:30:48 PM, 56.14
left, 4-4, p, 8/14/2016 5:31:44 PM, 28.55
down, 4-2, b, 8/14/2016 5:32:13 PM, 28.99
down, 4-1, v, 8/14/2016 5:32:42 PM, 29.07
left, 5-1, p, 8/14/2016 5:33:11 PM, 27.02
down, 5-3, b, 8/14/2016 5:33:38 PM, 30.85
left, 5-2, v, 8/14/2016 5:34:09 PM, 16.97
left, 5-4, t, 8/14/2016 5:34:26 PM, 35.20
down, 6-3, p, 8/14/2016 5:35:01 PM, 13.10
left, 6-4, b, 8/14/2016 5:35:14 PM, 21.09
left, 6-1, v, 8/14/2016 5:35:35 PM, 16.33
up, 7-2, p, 8/14/2016 5:35:51 PM, 19.12
down, 7-3, v, 8/14/2016 5:36:11 PM, 79.18
left, 7-1, b, 8/14/2016 5:37:30 PM, 25.45
left, 7-4, t, 8/14/2016 5:37:55 PM, 43.40
down, 8-3, p, 8/14/2016 5:38:39 PM, 14.44
left, 8-4, v, 8/14/2016 5:38:53 PM, 14.55
left, 8-2, b, 8/14/2016 5:39:08 PM, 22.22
