direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 4:09:50 PM, 7.30
down, 2-3, b, 8/15/2016 4:09:58 PM, 14.54
right, 2-1, t, 8/15/2016 4:10:12 PM, 24.66
up, 2-2, p, 8/15/2016 4:10:37 PM, 44.34
left, 3-1, p, 8/15/2016 4:11:21 PM, 11.28
right, 4-4, p, 8/15/2016 4:11:32 PM, 12.36
left, 4-1, v, 8/15/2016 4:11:45 PM, 13.73
up, 5-2, v, 8/15/2016 4:11:58 PM, 7.30
down, 6-1, v, 8/15/2016 4:12:06 PM, 15.76
right, 6-4, b, 8/15/2016 4:12:22 PM, 0.35
left, 7-3, v, 8/15/2016 4:12:22 PM, 14.70
right, 7-2, p, 8/15/2016 4:12:37 PM, 18.08
down, 8-4, v, 8/15/2016 4:12:55 PM, 9.33
