direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 2:33:38 PM, 21.44
down, 2-3, b, 8/12/2016 2:34:00 PM, 37.07
left, 2-2, p, 8/12/2016 2:34:37 PM, 11.28
up, 2-1, t, 8/12/2016 2:34:48 PM, 43.50
right, 2-4, v, 8/12/2016 2:35:31 PM, 20.68
right, 3-4, b, 8/12/2016 2:35:52 PM, 46.16
left, 4-2, b, 8/12/2016 2:36:38 PM, 33.11
up, 4-4, p, 8/12/2016 2:37:11 PM, 16.78
right, 5-1, p, 8/12/2016 2:37:28 PM, 25.60
up, 6-3, p, 8/12/2016 2:37:54 PM, 15.92
right, 7-2, p, 8/12/2016 2:38:10 PM, 19.60
down, 7-3, v, 8/12/2016 2:38:29 PM, 104.47
left, 7-1, b, 8/12/2016 2:40:14 PM, 33.64
down, 8-3, p, 8/12/2016 2:40:47 PM, 10.56
