direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 1:36:04 PM, 19.70
up, 1-2, v, 8/15/2016 1:36:24 PM, 5.99
up, 1-3, t, 8/15/2016 1:36:30 PM, 18.24
left, 2-4, v, 8/15/2016 1:36:48 PM, 17.26
up, 3-3, v, 8/15/2016 1:37:05 PM, 12.38
left, 3-1, p, 8/15/2016 1:37:18 PM, 9.31
right, 4-4, p, 8/15/2016 1:37:27 PM, 7.92
right, 5-1, p, 8/15/2016 1:37:35 PM, 12.75
up, 6-3, p, 8/15/2016 1:37:48 PM, 10.98
right, 7-2, p, 8/15/2016 1:37:59 PM, 7.13
down, 7-3, v, 8/15/2016 1:38:06 PM, 17.76
up, 8-4, v, 8/15/2016 1:38:24 PM, 8.54
right, 8-3, p, 8/15/2016 1:38:32 PM, 6.74
