direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 11:38:14 AM, 21.79
up, 1-2, v, 8/12/2016 11:38:36 AM, 28.85
left, 2-3, b, 8/12/2016 11:39:05 AM, 35.31
right, 2-1, t, 8/12/2016 11:39:40 AM, 60.65
right, 2-4, v, 8/12/2016 11:40:41 AM, 25.42
right, 3-4, b, 8/12/2016 11:41:06 AM, 23.11
down, 3-3, v, 8/12/2016 11:41:29 AM, 35.04
down, 3-2, t, 8/12/2016 11:42:04 AM, 58.05
down, 4-2, b, 8/12/2016 11:43:02 AM, 27.67
down, 4-1, v, 8/12/2016 11:43:30 AM, 26.07
up, 5-2, v, 8/12/2016 11:43:56 AM, 20.53
down, 6-1, v, 8/12/2016 11:44:17 AM, 34.59
down, 7-3, v, 8/12/2016 11:44:51 AM, 38.45
up, 8-4, v, 8/12/2016 11:45:30 AM, 25.23
