direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 11:28:52 AM, 15.75
up, 1-2, v, 8/15/2016 11:29:08 AM, 8.89
left, 2-3, b, 8/15/2016 11:29:17 AM, 19.47
down, 3-4, b, 8/15/2016 11:29:37 AM, 13.78
right, 3-1, p, 8/15/2016 11:29:50 AM, 7.69
up, 4-2, b, 8/15/2016 11:29:58 AM, 18.06
right, 5-3, b, 8/15/2016 11:30:16 AM, 11.20
down, 6-4, b, 8/15/2016 11:30:27 AM, 12.00
down, 6-3, p, 8/15/2016 11:30:39 AM, 6.59
left, 7-1, b, 8/15/2016 11:30:46 AM, 13.35
down, 7-2, p, 8/15/2016 11:30:59 AM, 10.17
right, 8-2, b, 8/15/2016 11:31:09 AM, 20.25
up, 8-3, p, 8/15/2016 11:31:30 AM, 9.96
right, 8-1, t, 8/15/2016 11:31:40 AM, 16.38
left, 8-4, v, 8/15/2016 11:31:56 AM, 14.80
