direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 10:25:28 PM, 25.92
up, 1-2, v, 8/10/2016 10:25:54 PM, 27.84
right, 1-4, p, 8/10/2016 10:26:21 PM, 11.25
down, 1-3, t, 8/10/2016 10:26:33 PM, 42.79
down, 2-2, p, 8/10/2016 10:27:15 PM, 16.26
right, 2-3, b, 8/10/2016 10:27:32 PM, 20.91
left, 3-1, p, 8/10/2016 10:27:53 PM, 38.38
left, 3-3, v, 8/10/2016 10:28:31 PM, 21.59
up, 4-1, v, 8/10/2016 10:28:53 PM, 28.86
left, 4-4, p, 8/10/2016 10:29:21 PM, 22.30
right, 5-1, p, 8/10/2016 10:29:44 PM, 38.25
left, 5-2, v, 8/10/2016 10:30:22 PM, 35.40
right, 6-3, p, 8/10/2016 10:30:57 PM, 25.47
left, 6-4, b, 8/10/2016 10:31:23 PM, 13.47
down, 7-2, p, 8/10/2016 10:31:36 PM, 17.77
up, 8-3, p, 8/10/2016 10:31:54 PM, 13.69
left, 8-4, v, 8/10/2016 10:32:08 PM, 11.35
