direction, next, type, time, seconds spent
start, 1-1, b, 8/14/2016 2:39:31 PM, 6.28
left, 1-4, p, 8/14/2016 2:39:37 PM, 47.82
right, 1-2, v, 8/14/2016 2:40:25 PM, 21.99
up, 1-3, t, 8/14/2016 2:40:47 PM, 12.40
right, 2-1, t, 8/14/2016 2:40:59 PM, 14.32
up, 2-2, p, 8/14/2016 2:41:13 PM, 9.23
down, 2-4, v, 8/14/2016 2:41:23 PM, 10.21
right, 2-3, b, 8/14/2016 2:41:33 PM, 8.09
up, 3-3, v, 8/14/2016 2:41:41 PM, 6.46
right, 3-4, b, 8/14/2016 2:41:47 PM, 15.89
right, 3-1, p, 8/14/2016 2:42:03 PM, 6.32
down, 3-2, t, 8/14/2016 2:42:10 PM, 11.89
right, 4-1, v, 8/14/2016 2:42:21 PM, 9.33
left, 4-4, p, 8/14/2016 2:42:31 PM, 8.05
right, 5-1, p, 8/14/2016 2:42:39 PM, 19.10
right, 5-4, t, 8/14/2016 2:42:58 PM, 9.65
right, 5-2, v, 8/14/2016 2:43:08 PM, 7.54
up, 5-3, b, 8/14/2016 2:43:15 PM, 9.64
right, 6-2, t, 8/14/2016 2:43:25 PM, 5.54
right, 6-4, b, 8/14/2016 2:43:30 PM, 7.48
down, 6-3, p, 8/14/2016 2:43:38 PM, 3.41
down, 6-1, v, 8/14/2016 2:43:41 PM, 20.25
down, 7-3, v, 8/14/2016 2:44:01 PM, 31.86
right, 7-2, p, 8/14/2016 2:44:33 PM, 11.20
right, 7-1, b, 8/14/2016 2:44:44 PM, 6.15
left, 7-4, t, 8/14/2016 2:44:51 PM, 5.87
down, 8-3, p, 8/14/2016 2:44:56 PM, 3.65
right, 8-1, t, 8/14/2016 2:45:00 PM, 18.17
right, 8-2, b, 8/14/2016 2:45:18 PM, 9.60
right, 8-4, v, 8/14/2016 2:45:28 PM, 7.34
