direction, next, type, time, seconds spent
start, 1-1, b, 8/13/2016 7:20:51 PM,17.13
left, 1-4, p, 8/13/2016 7:21:08 PM,8.4
right, 1-2, v, 8/13/2016 7:21:16 PM,21.04
right, 2-2, p, 8/13/2016 7:21:37 PM,12.45
right, 2-3, b, 8/13/2016 7:21:50 PM,19.96
down, 3-4, b, 8/13/2016 7:22:10 PM,14.97
right, 3-1, p, 8/13/2016 7:22:25 PM,23.38
right, 4-4, p, 8/13/2016 7:22:48 PM,27.57
right, 5-1, p, 8/13/2016 7:23:16 PM,16.39
up, 6-3, p, 8/13/2016 7:23:32 PM,8.75
right, 7-2, p, 8/13/2016 7:23:41 PM,16.06
down, 7-3, v, 8/13/2016 7:23:57 PM,68.3
right, 8-3, p, 8/13/2016 7:25:05 PM,56.44
right, 8-1, t, 8/13/2016 7:26:02 PM,79.14
left, 8-4, v, 8/13/2016 7:27:21 PM,16.78
left, 8-2, b, 8/13/2016 7:27:38 PM,26.51
