direction, next, type, time, seconds spent
start, 1-1, b, 8/14/2016 11:26:43 PM, 9.09
left, 1-4, p, 8/14/2016 11:26:52 PM, 9.30
right, 1-2, v, 8/14/2016 11:27:02 PM, 11.04
right, 2-2, p, 8/14/2016 11:27:13 PM, 10.34
down, 2-4, v, 8/14/2016 11:27:23 PM, 13.35
up, 3-3, v, 8/14/2016 11:27:36 PM, 10.02
up, 4-1, v, 8/14/2016 11:27:46 PM, 9.74
left, 4-4, p, 8/14/2016 11:27:56 PM, 12.90
up, 4-3, t, 8/14/2016 11:28:09 PM, 14.51
up, 4-2, b, 8/14/2016 11:28:24 PM, 10.28
up, 5-1, p, 8/14/2016 11:28:34 PM, 14.46
up, 6-3, p, 8/14/2016 11:28:48 PM, 8.75
right, 7-2, p, 8/14/2016 11:28:57 PM, 10.93
up, 8-3, p, 8/14/2016 11:29:08 PM, 6.23
