direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 11:21:22 PM, 17.36
up, 1-2, v, 8/10/2016 11:21:39 PM, 17.92
right, 1-4, p, 8/10/2016 11:21:57 PM, 13.43
down, 1-3, t, 8/10/2016 11:22:11 PM, 23.27
up, 2-3, b, 8/10/2016 11:22:34 PM, 16.42
up, 2-4, v, 8/10/2016 11:22:51 PM, 18.18
down, 2-2, p, 8/10/2016 11:23:09 PM, 12.32
up, 2-1, t, 8/10/2016 11:23:21 PM, 37.35
down, 3-4, b, 8/10/2016 11:23:58 PM, 21.27
down, 3-3, v, 8/10/2016 11:24:20 PM, 13.02
left, 3-1, p, 8/10/2016 11:24:33 PM, 16.38
down, 3-2, t, 8/10/2016 11:24:49 PM, 33.62
down, 4-2, b, 8/10/2016 11:25:23 PM, 18.20
up, 4-4, p, 8/10/2016 11:25:41 PM, 17.34
up, 4-3, t, 8/10/2016 11:25:58 PM, 34.24
right, 4-1, v, 8/10/2016 11:26:32 PM, 14.99
down, 5-3, b, 8/10/2016 11:26:47 PM, 14.21
up, 5-1, p, 8/10/2016 11:27:02 PM, 11.73
left, 5-2, v, 8/10/2016 11:27:13 PM, 14.60
left, 5-4, t, 8/10/2016 11:27:28 PM, 15.40
left, 6-4, b, 8/10/2016 11:27:43 PM, 14.51
down, 6-3, p, 8/10/2016 11:27:58 PM, 7.87
down, 6-1, v, 8/10/2016 11:28:06 PM, 6.55
left, 6-2, t, 8/10/2016 11:28:12 PM, 18.25
right, 7-1, b, 8/10/2016 11:28:31 PM, 20.30
down, 7-2, p, 8/10/2016 11:28:51 PM, 12.17
down, 7-3, v, 8/10/2016 11:29:03 PM, 24.35
down, 7-4, t, 8/10/2016 11:29:27 PM, 28.37
up, 8-2, b, 8/10/2016 11:29:56 PM, 22.64
right, 8-4, v, 8/10/2016 11:30:18 PM, 8.46
right, 8-3, p, 8/10/2016 11:30:27 PM, 7.61
right, 8-1, t, 8/10/2016 11:30:34 PM, 26.51
