direction, next, type, time, seconds spent
start, 1-1, b, 8/12/2016 11:10:47 AM,26.89
right, 1-3, t, 8/12/2016 11:11:18 AM,23.27
left, 1-2, v, 8/12/2016 11:11:42 AM,20.35
right, 1-4, p, 8/12/2016 11:12:02 AM,15.77
left, 2-3, b, 8/12/2016 11:12:18 AM,13.24
right, 2-1, t, 8/12/2016 11:12:31 AM,37.87
up, 2-2, p, 8/12/2016 11:13:09 AM,14.85
down, 2-4, v, 8/12/2016 11:13:24 AM,18.66
left, 3-2, t, 8/12/2016 11:13:42 AM,57.23
left, 3-1, p, 8/12/2016 11:14:40 AM,39.22
left, 3-3, v, 8/12/2016 11:15:19 AM,35.03
right, 3-4, b, 8/12/2016 11:15:54 AM,33.35
left, 4-2, b, 8/12/2016 11:16:27 AM,19.87
up, 4-4, p, 8/12/2016 11:16:47 AM,15.85
left, 4-1, v, 8/12/2016 11:17:03 AM,38.31
right, 4-3, t, 8/12/2016 11:17:41 AM,54.38
up, 5-3, b, 8/12/2016 11:18:36 AM,22.26
up, 5-1, p, 8/12/2016 11:18:58 AM,24.33
left, 5-2, v, 8/12/2016 11:19:22 AM,25.65
left, 5-4, t, 8/12/2016 11:19:48 AM,33.97
left, 6-4, b, 8/12/2016 11:20:22 AM,19.69
left, 6-1, v, 8/12/2016 11:20:42 AM,10.58
up, 6-3, p, 8/12/2016 11:20:52 AM,12.63
up, 6-2, t, 8/12/2016 11:21:05 AM,49.07
right, 7-1, b, 8/12/2016 11:21:54 AM,19.33
down, 7-2, p, 8/12/2016 11:22:13 AM,14.26
down, 7-3, v, 8/12/2016 11:22:27 AM,37.03
down, 7-4, t, 8/12/2016 11:23:04 AM,26.58
up, 8-2, b, 8/12/2016 11:23:31 AM,20.52
down, 8-1, t, 8/12/2016 11:23:52 AM,24.98
left, 8-4, v, 8/12/2016 11:24:17 AM,4.5
right, 8-3, p, 8/12/2016 11:24:21 AM,10.01
