direction, next, type, time, seconds spent
start, 1-1, b, 8/10/2016 5:57:37 PM, 28.43
left, 1-4, p, 8/10/2016 5:58:06 PM, 20.06
up, 2-2, p, 8/10/2016 5:58:26 PM, 23.17
left, 3-1, p, 8/10/2016 5:58:49 PM, 48.73
left, 3-3, v, 8/10/2016 5:59:38 PM, 31.47
up, 4-1, v, 8/10/2016 6:00:09 PM, 18.92
up, 5-2, v, 8/10/2016 6:00:28 PM, 18.75
down, 6-1, v, 8/10/2016 6:00:47 PM, 12.68
up, 6-3, p, 8/10/2016 6:00:59 PM, 8.12
right, 7-2, p, 8/10/2016 6:01:07 PM, 18.40
right, 7-1, b, 8/10/2016 6:01:26 PM, 44.95
up, 8-2, b, 8/10/2016 6:02:11 PM, 39.93
