direction, next, type, time, seconds spent
start, 1-1, b, 8/15/2016 11:40:05 AM, 43.57
right, 1-3, t, 8/15/2016 11:40:49 AM, 40.18
down, 1-4, p, 8/15/2016 11:41:29 AM, 15.01
right, 1-2, v, 8/15/2016 11:41:44 AM, 23.86
up, 2-1, t, 8/15/2016 11:42:08 AM, 49.78
down, 2-3, b, 8/15/2016 11:42:58 AM, 35.96
left, 2-2, p, 8/15/2016 11:43:34 AM, 17.27
down, 2-4, v, 8/15/2016 11:43:51 AM, 17.14
right, 3-4, b, 8/15/2016 11:44:08 AM, 24.06
up, 3-2, t, 8/15/2016 11:44:32 AM, 30.23
right, 3-3, v, 8/15/2016 11:45:02 AM, 17.03
left, 3-1, p, 8/15/2016 11:45:19 AM, 18.26
down, 4-3, t, 8/15/2016 11:45:38 AM, 26.81
up, 4-2, b, 8/15/2016 11:46:05 AM, 13.88
down, 4-1, v, 8/15/2016 11:46:18 AM, 10.14
left, 4-4, p, 8/15/2016 11:46:29 AM, 5.78
down, 5-3, b, 8/15/2016 11:46:34 AM, 17.85
right, 5-4, t, 8/15/2016 11:46:52 AM, 20.12
right, 5-2, v, 8/15/2016 11:47:12 AM, 12.43
right, 5-1, p, 8/15/2016 11:47:25 AM, 9.26
down, 6-4, b, 8/15/2016 11:47:34 AM, 17.82
right, 6-2, t, 8/15/2016 11:47:52 AM, 12.84
up, 6-1, v, 8/15/2016 11:48:05 AM, 6.38
up, 6-3, p, 8/15/2016 11:48:11 AM, 4.51
left, 7-1, b, 8/15/2016 11:48:16 AM, 16.13
left, 7-4, t, 8/15/2016 11:48:32 AM, 15.89
right, 7-3, v, 8/15/2016 11:48:48 AM, 11.68
right, 7-2, p, 8/15/2016 11:48:59 AM, 3.59
right, 8-2, b, 8/15/2016 11:49:03 AM, 13.26
down, 8-1, t, 8/15/2016 11:49:16 AM, 6.58
left, 8-4, v, 8/15/2016 11:49:23 AM, 13.40
right, 8-3, p, 8/15/2016 11:49:36 AM, 3.92
